iter	MultiClass
181	0.6898806665
182	0.6898171681
183	0.6895105956
184	0.689296878
185	0.6892554896
186	0.6891492751
187	0.6887810532
188	0.6886783144
189	0.6885812714
190	0.6884896015
191	0.68839455
192	0.6883407695
193	0.6882555814
194	0.6881358981
195	0.6880759267
196	0.6879777147
197	0.6878489593
198	0.6877871548
199	0.6876082502
200	0.6874113323
201	0.6871388939
202	0.6866102486
203	0.686424854
204	0.6862275105
205	0.6860760983
206	0.685637966
207	0.6855674998
208	0.6853171395
209	0.6851415179
210	0.6848238947
211	0.6846414885
212	0.6843679067
213	0.6843350868
214	0.6840036607
215	0.6838684441
216	0.6837295824
217	0.6834823083
218	0.683319042
219	0.6831506378
220	0.682974274
221	0.6828197561
222	0.6827018357
223	0.6823839452
224	0.682232609
225	0.6820804181
226	0.6819281426
227	0.6816797394
228	0.6816079247
229	0.6815180277
230	0.6812376029
231	0.6808619517
232	0.6807622518
233	0.6807316174
234	0.6806551405
235	0.680484465
236	0.6801659678
237	0.679970908
238	0.6798235807
239	0.6797705075
240	0.6795257298
241	0.6794363898
242	0.6791769616
243	0.6790784929
244	0.6790162784
245	0.678791612
246	0.6786276077
247	0.6785998436
248	0.6784043364
249	0.6781978969
250	0.6781169915
251	0.6779048448
252	0.6777648773
253	0.6775707717
254	0.6774583045
255	0.6772321381
256	0.6770740238
257	0.6769656504
258	0.6766237049
259	0.6764933753
260	0.6762254272
261	0.6759288023
262	0.6758563274
263	0.6756979647
264	0.6755575025
265	0.6754146307
266	0.6752420378
267	0.6751505747
268	0.6747382971
269	0.674667197
270	0.6744886605
271	0.6743058859
272	0.6741476547
273	0.6739735944
274	0.6737448731
275	0.6735861762
276	0.6734352547
277	0.6733122006
278	0.6731740196
279	0.6731278701
280	0.6730328981
281	0.6728148323
282	0.6726201691
283	0.6725092616
284	0.6723472775
285	0.6721331887
286	0.6719525367
287	0.6717702821
288	0.6716612143
289	0.6715450435
290	0.6711704799
291	0.6708621509
292	0.6705842322
293	0.6705167893
294	0.6704544502
295	0.6702978539
296	0.6700001836
297	0.6698227775
298	0.6695554117
299	0.6694965774
300	0.6694142963
301	0.6692580628
302	0.6691941406
303	0.6687412095
304	0.6686836994
305	0.6684100427
306	0.6683537443
307	0.6682612601
308	0.6678564014
309	0.6676616728
310	0.6675689179
311	0.667411001
312	0.6672331639
313	0.6669546004
314	0.6667680746
315	0.6665575179
316	0.6663605318
317	0.6660240764
318	0.6657867942
319	0.6656454474
320	0.6654548153
321	0.6652171939
322	0.6650275961
323	0.6648864848
324	0.664783716
325	0.6645858783
326	0.6645697182
327	0.664177993
328	0.6639062512
329	0.6637242696
330	0.6635326638
331	0.6634198242
332	0.6632098463
333	0.6631236434
334	0.6629881239
335	0.662815102
336	0.6627093293
337	0.6626060266
338	0.6624780961
339	0.6623139005
340	0.6622750876
341	0.6620405739
342	0.6618128004
343	0.6617305692
